source_text,target_language,translation,content_type,product_category,brand_notes
"Designed by Company in California","French","Conçu par Company en Californie","legal","general","Standard legal text - always use 'Conçu' not 'Designé'"
"Designed by Company in California","Spanish","Diseñado por Company en California","legal","general","Standard legal text"
"Designed by Company in California","German","Entwickelt von Company in Kalifornien","legal","general","Use 'Entwickelt' for design context"
"Designed by Company in California","Japanese","カリフォルニアのCompanyによるデザイン","legal","general","Katakana for California, keep Company in English"
"Designed by Company in California","Chinese","由 Company 在加利福尼亚设计","legal","general","Simplified Chinese - keep Company in English"
"The most powerful device ever","French","L'appareil le plus puissant de tous les temps","marketing","Product A","Superlative form - 'de tous les temps' adds gravitas"
"The most powerful device ever","Spanish","El dispositivo más potente hasta la fecha","marketing","Product A","'hasta la fecha' preferred over literal translation"
"The most powerful device ever","German","Das bisher leistungsstärkste Gerät","marketing","Product A","German prefers 'bisher' (so far) structure"
"The most powerful device ever","Japanese","これまでで最もパワフルなデバイス","marketing","Product A","'これまでで' maintains brand tone"
"All-day battery life","French","Autonomie d'une journée","marketing","Product A","Avoid literal 'toute la journée' - more natural"
"All-day battery life","Spanish","Batería para todo el día","marketing","Product A","'para todo el día' is conversational"
"All-day battery life","German","Batterielaufzeit für den ganzen Tag","marketing","Product A","Compound noun preferred in German"
"Advanced camera system","French","Système de caméra avancé","marketing","Product A","Use 'caméra' not 'appareil photo'"
"Advanced camera system","Spanish","Sistema de cámara avanzado","marketing","Product A","Match gender agreement"
"Pro camera system","French","Système de caméra Pro","marketing","Product A","Keep 'Pro' in English - it's a product tier"
"Pro camera system","Spanish","Sistema de cámara Pro","marketing","Product A","Keep 'Pro' in English"
"Pro camera system","German","Pro Kamera-System","marketing","Product A","'Pro' comes first in German, hyphenate compound"
"Face ID","French","Face ID","technical","Product A","Keep as-is - registered trademark"
"Face ID","Spanish","Face ID","technical","Product A","Keep as-is - registered trademark"
"Face ID","German","Face ID","technical","Product A","Keep as-is - registered trademark"
"Face ID","Japanese","Face ID","technical","Product A","Keep as-is - registered trademark"
"Privacy. That's our product.","French","La confidentialité. C'est ça, notre produit.","marketing","Product A","Maintain punchy structure, add 'la' for flow"
"Privacy. That's our product.","Spanish","Privacidad. Eso es nuestro producto.","marketing","Product A","Keep short sentence structure"
"Privacy. That's our product.","German","Datenschutz. Das ist unser Produkt.","marketing","Product A","'Datenschutz' is stronger than 'Privatsphäre'"
"Supercharged by the M2 chip","French","Suralimenté par la puce M2","marketing","Product B","Keep 'M2' in English, 'puce' for chip"
"Supercharged by the M2 chip","Spanish","Supercargado con el chip M2","marketing","Product B","'con' more natural than 'por'"
"Supercharged by the M2 chip","German","Enorme Leistung durch den M2 Chip","marketing","Product B","Adapt to German marketing style - less literal"
"Up to 18 hours battery life","French","Jusqu'à 18 heures d'autonomie","technical","Product B","Use 'autonomie' for battery life"
"Up to 18 hours battery life","Spanish","Hasta 18 horas de batería","technical","Product B","Omit article before number"
"Up to 18 hours battery life","German","Bis zu 18 Stunden Batterielaufzeit","technical","Product B","Compound noun for battery life"
"Liquid Retina display","French","Écran Liquid Retina","marketing","Product C","Keep 'Liquid Retina' in English - product name"
"Liquid Retina display","Spanish","Pantalla Liquid Retina","marketing","Product C","Keep 'Liquid Retina' in English"
"Liquid Retina display","German","Liquid Retina Display","marketing","Product C","Keep full phrase in English"
"Available in five colors","French","Disponible en cinq coloris","marketing","Product A","Use 'coloris' for product colors, not 'couleurs'"
"Available in five colors","Spanish","Disponible en cinco colores","marketing","Product A","Standard translation"
"True Tone technology","French","Technologie True Tone","technical","Product C","Keep 'True Tone' in English"
"True Tone technology","Spanish","Tecnología True Tone","technical","Product C","Keep 'True Tone' in English"
"Emergency SOS via satellite","French","SOS d'urgence par satellite","technical","Product A","Keep 'SOS' in English, standard emergency term"
"Emergency SOS via satellite","Spanish","SOS de emergencia vía satélite","technical","Product A","'vía' maintains technical precision"
"Crash Detection","French","Détection des accidents","technical","Product A","More natural than literal translation"
"Crash Detection","Spanish","Detección de choques","technical","Product A","'choques' preferred for vehicle crashes"
"Dynamic Island","French","Dynamic Island","marketing","Product A","Keep as-is - product feature name"
"Dynamic Island","Spanish","Dynamic Island","marketing","Product A","Keep as-is - product feature name"
"Dynamic Island","German","Dynamic Island","marketing","Product A","Keep as-is - product feature name"
"Action button","French","Bouton Action","technical","Product A","Keep 'Action' in English - feature name"
"Action button","Spanish","Botón de acción","technical","Product A","Translate to Spanish - not a branded term"
"Ceramic Shield","French","Ceramic Shield","technical","Product A","Keep as-is - material brand name"
"Ceramic Shield","Spanish","Ceramic Shield","technical","Product A","Keep as-is - material brand name"